region,title,view_num,danmu,upload_time,up_author,bvid,video_url
社科·法律·心理,美国嚷嚷半天“狼来了”，普京：来就来【轩讲】,187.1万,7932,2022-02-22,观察者网,BV1BZ4y1k79J,www.bilibili.com/video/BV1BZ4y1k79J?from=search
日常,俄乌局势升级，洋媳妇寝食难安，中国老公汇款200000给丈母娘家,52.6万,1521,2021-12-16,乌克兰洋媳妇娜娜,BV1fS4y1D7GH,www.bilibili.com/video/BV1fS4y1D7GH?from=search
环球,俄乌边境惊现5个乱葬坑，挖出295具平民尸体！普京：这是种族灭绝,15.7万,114,2022-02-18,神鸟知讯国际纵横,BV1LZ4y1k7eK,www.bilibili.com/video/BV1LZ4y1k7eK?from=search
热点,美国要求中国施压俄罗斯解决俄乌危机？美国这脑洞……赵立坚这样回应,62.9万,197,2022-01-28,环球交叉点,BV15P4y1N7W4,www.bilibili.com/video/BV15P4y1N7W4?from=search
热点,俄乌开战影响大，半导体关键原料恐断供，美日韩或不得不求助中国,29.6万,327,2022-02-26,王晋博士,BV1FS4y1673U,www.bilibili.com/video/BV1FS4y1673U?from=search
环球,俄乌谈判结束 乌方要求俄军全部撤出 包括克里米亚,13.4万,244,2022-02-28,东方今报,BV1UZ4y1671C,www.bilibili.com/video/BV1UZ4y1671C?from=search
环球,一分钟回顾俄乌冲突第7天,42.2万,74,2022-03-02,央视新闻,BV1ZY411G7vK,www.bilibili.com/video/BV1ZY411G7vK?from=search
搞笑,坚守俄乌边境的新兵,11.3万,87,2022-02-21,柒_苏_official,BV1zq4y1t7LS,www.bilibili.com/video/BV1zq4y1t7LS?from=search
热点,俄乌谈判结束！双方三轮谈判历时5小时 80秒回顾原声现场,35.0万,208,2022-03-01,青蜂侠-Bee,BV1mm4y1R7Qa,www.bilibili.com/video/BV1mm4y1R7Qa?from=search
环球,愿世界和平！北京冬奥闭幕式短片最后一幕 是俄乌选手拥抱庆祝,6.2万,27,2022-02-21,海客新闻,BV1xS4y1F79M,www.bilibili.com/video/BV1xS4y1F79M?from=search
环球,现场独家 乌克兰视频博主实拍俄乌军队交火,19.5万,119,2022-02-28,CGTN,BV12u411D79L,www.bilibili.com/video/BV12u411D79L?from=search
环球,李红：蔡英文当局已经被吓坏了…,474.2万,1.3万,2022-02-25,央视网,BV1e44y1n7QK,www.bilibili.com/video/BV1e44y1n7QK?from=search
人文历史,2022俄乌战争：俄军的作战设想,57.8万,798,2022-02-25,草说木言,BV1c3411j7of,www.bilibili.com/video/BV1c3411j7of?from=search
热点,联合国大会召开紧急特别会议，中方表态：欢迎俄乌直接对话,32.9万,81,2022-03-01,观察者网,BV1fF411t7gh,www.bilibili.com/video/BV1fF411t7gh?from=search
社科·法律·心理,被西方制裁，是怎样一种体验【轩讲】,91.6万,9391,2022-02-27,观察者网,BV1HP4y1c7dw,www.bilibili.com/video/BV1HP4y1c7dw?from=search
社科·法律·心理,【防务新观察】美武器装备乌军 再挑俄乌战火,4.8万,914,2018-01-09,共青团中央,BV1BW411i7st,www.bilibili.com/video/BV1BW411i7st?from=search
